PebbleCounts Parameters
otsu_threshold,maxGS,cutoff,min_sz_factors,win_sz_factors,improvement_ths,coordinate_scales,overlaps,first_nl_denoise,nl_means_chroma_filts,bilat_filt_szs,tophat_th,sobel_th,canny_sig
90.0,0.3,20,"[50, 5, 1]","[10, 3, 2]","[0.01, 0.1, 0.1]","[0.5, 0.5, 0.5]","[0.5, 0.3, 0.1]",5,"[3, 2, 1]","[9, 5, 3]",90,90,2

Image Details
perc. not meas.,perc. background color
97.83775,0.40627500000000005

Pebble Details
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area
-104.71170057716353,32.24217342761833,44.746105602491276,23.59001731220105,2.4518507790593716e-06,1.2926086314363848e-06,590,1.7714528429139766e-12,-1.6206245791618423,826.7659539269456,28.63760327845656
-104.7117766322421,32.24215381110417,270.4591186901031,184.00804732816277,1.481973440895648e-05,1.0082671287702652e-05,29368,8.81763171028774e-11,-2.5081855016284176,38979.61331241429,24.658051980605887
-104.71178518021924,32.24214652340477,154.6031463556952,67.89820389423713,8.471437675598223e-06,3.7204637559687127e-06,5460,1.6393444953068327e-11,-2.769313654716222,8221.966358261785,33.59252808771764
-104.71175164584741,32.2420970437615,116.60866715474357,51.673844425916606,6.389540442878561e-06,2.8314543580217727e-06,3960,1.1889751284642961e-11,-2.5634925667771262,4719.55102743044,16.093713639620873
-104.71172989234151,32.24219671537956,37.576004911447455,32.090312084779775,2.0589670469767486e-06,1.7583799891837972e-06,757,2.2728640713320005e-12,-0.3839863755259274,944.4601232091674,19.848389424023466
-104.711733782767,32.242185372869976,233.60873870770246,90.65601783499329,1.2800527784113301e-05,4.967472028286932e-06,10648,3.1970220120928854e-11,-2.1593152491773293,16587.647747051997,35.807655417011176
-104.71171674160746,32.24216213990348,165.2613896639666,112.99089654139253,9.055453240906651e-06,6.191305678593086e-06,8436,2.5328773191224248e-11,-2.482047590991799,14625.60824044895,42.32034756223549
-104.71171674160746,32.24215819468275,53.201673397205866,27.54904684352089,2.9151713341269847e-06,1.5095425860227068e-06,946,2.8403294735535963e-12,-0.03776453890400622,1147.9710911104355,17.59374366431722
-104.7117753171687,32.242147564504684,87.90031425819072,64.83609946762897,4.816473994588466e-06,3.5526765704058565e-06,3319,9.965172857002523e-12,-0.1831161649457418,4463.817072773673,25.646594699328045
-104.71179307065967,32.24213742747921,138.76346900413077,70.77168877924206,7.603506830409316e-06,3.877915584659753e-06,5714,1.7156070414255022e-11,-1.2395139850337589,7691.902820539109,25.71409008519535
-104.71179482409087,32.242130468548204,68.42905031597164,29.235276509271646,3.749551342366805e-06,1.6019390854269775e-06,1154,3.4648416622419137e-12,-1.763544074940826,1566.9199131741302,26.35233043517029
-104.71175920751949,32.2421058657134,112.72904389618962,73.70890319683777,6.176957533575885e-06,4.038859455887856e-06,5861,1.7597432393760706e-11,-1.791132049076486,6508.10953498473,9.943126056901075
-104.71177630347375,32.24209589307212,26.431841254674612,21.27095982265807,1.4483256073270297e-06,1.1655365022340873e-06,384,1.1529455791168934e-12,-2.1194506272323617,440.36580284325294,12.79976839239631
