PebbleCounts Parameters
otsu_threshold,maxGS,cutoff,min_sz_factors,win_sz_factors,improvement_ths,coordinate_scales,overlaps,first_nl_denoise,nl_means_chroma_filts,bilat_filt_szs,tophat_th,sobel_th,canny_sig
50.0,0.3,20,"[50, 5, 1]","[10, 3, 2]","[0.01, 0.1, 0.1]","[0.5, 0.5, 0.5]","[0.5, 0.3, 0.1]",5,"[3, 2, 1]","[9, 5, 3]",90,90,2

Image Details
perc. not meas.,perc. background color
95.27397212809159,0.0

Pebble Details
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area
-104.71181044045062,32.24204723552086,371.6848816799475,113.32774532264773,2.0366461153751038e-05,6.20979016505534e-06,16548,4.968517978325641e-11,-2.3816732172449306,32992.12022996157,49.84256881747161
-104.71180227600057,32.24204789306046,105.43827286272898,54.946180498599205,5.777486775010857e-06,3.0107741956405946e-06,4098,1.2304197894113172e-11,-1.7751341205005526,4537.690523515455,9.689742419340156
-104.71180309792507,32.24203939984061,97.44778145688727,46.968530482061546,5.3396480550690866e-06,2.573639119213295e-06,3161,9.490866164785686e-12,-2.5798806409780983,3584.9079605515776,11.824793417746623
-104.71180167325593,32.24203797517147,42.483797740607294,33.315466927209286,2.327898332687484e-06,1.8255199402389135e-06,933,2.801321775306879e-12,-2.2187163748691257,1108.5832650474156,15.838527477672654
-104.71182233095841,32.24202301614554,60.60747593397163,35.36394547077746,3.320984697190411e-06,1.9377662562399995e-06,1167,3.5039040855124627e-12,-1.1243895475064176,1678.749866913768,30.483985553760583
-104.7118197008,32.242022577785804,53.62639372813743,23.054312745980294,2.938456521942503e-06,1.2632603264497174e-06,620,1.861542873194282e-12,-2.455547895768581,968.3444195498313,35.97319430123544
-104.71182265972821,32.24201518046529,165.46655078856548,91.50731250582841,9.066734335948383e-06,5.014140249693822e-06,10695,3.211161456260136e-11,-0.01863098622779935,11859.464950902488,9.81886582340187
-104.71183904342328,32.24201074207298,99.42927533405918,28.956388053118822,5.448223948426426e-06,1.586664353339507e-06,1523,4.5727899933465985e-12,-0.8593464326489465,2255.0581411644685,32.46293866225763
-104.7118146048681,32.24200882424914,87.07474289494084,53.88255598693095,4.771257740232019e-06,2.9524929246855875e-06,2313,6.944755912416732e-12,-2.110638231205491,3674.848766164213,37.058634322677264
-104.71185044077637,32.24200887904411,63.533790033213286,48.35781600698285,3.481331984270004e-06,2.6497649749298124e-06,2049,6.152098947056586e-12,-0.4588062541271689,2406.4149845753195,14.852591380384691
-104.71184085165719,32.242007016015236,69.3508691641445,50.102591989986784,3.8000786484144497e-06,2.745369918879203e-06,2246,6.7435891825715435e-12,-1.5160644680617152,2721.517828992643,17.47252301369834
-104.71181586515233,32.24200553655113,51.214788504967764,39.86953995125028,2.8063126911956795e-06,2.184650161085289e-06,1408,4.227503815254111e-12,-2.5732887618017073,1599.321182363347,11.96264918348846
-104.71184720787333,32.242003454342395,163.1764384532783,76.48875000470817,8.94124770409093e-06,4.191198599816247e-06,6497,1.9507167817972983e-11,-2.949776894322364,9775.840222126439,33.54023948453227
