PebbleCounts Parameters
otsu_threshold,maxGS,cutoff,min_sz_factors,win_sz_factors,improvement_ths,coordinate_scales,overlaps,first_nl_denoise,nl_means_chroma_filts,bilat_filt_szs,tophat_th,sobel_th,canny_sig
90.0,0.3,20,"[50, 5, 1]","[10, 3, 2]","[0.01, 0.1, 0.1]","[0.5, 0.5, 0.5]","[0.5, 0.3, 0.1]",5,"[3, 2, 1]","[9, 5, 3]",90,90,2

Image Details
perc. not meas.,perc. background color
97.639225,0

Pebble Details
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area
-104.71164627558107,32.24219655099537,64.61229539538644,56.424278563079405,3.540413286674323e-06,3.091753114377105e-06,2593,7.785385121484646e-12,-0.2563225525377484,2855.487518270321,9.192388921010576
-104.71166216605138,32.24219452359027,116.68244884015544,67.9065940572957,6.393583290416277e-06,3.7209234926889172e-06,4725,1.4186635055539898e-11,-0.11696192724613375,6206.068500793113,23.864842945317765
-104.711667426345,32.24219386605348,45.01313621982011,20.800501815708014,2.4664826496616247e-06,1.1397578827246614e-06,543,1.630337107969982e-12,-2.3147808704140127,733.3514695557055,25.95637664311606
-104.71165838521534,32.242192934543034,50.489968663382676,36.87247339169454,2.766584205153839e-06,2.0204172272422024e-06,1255,3.768090369249221e-12,-2.44599323074539,1458.16427339404,13.932879655675045
-104.71167164553884,32.242192222211514,85.66960120944465,48.88008400196739,4.694242675174572e-06,2.678371009655837e-06,3044,9.139495684457872e-12,-0.3782614518840359,3279.8786070454785,7.191687111187277
-104.71163142621054,32.24218992083276,143.47567378162748,32.23014202502129,7.861710819320237e-06,1.7660419330178073e-06,2529,7.593227524965164e-12,-2.497280390191992,3621.92600464981,30.17527147839898
-104.7116822209208,32.24218800301713,79.36312964013717,54.480662819588,4.348681267715205e-06,2.9852532143141564e-06,2583,7.755360497028478e-12,-0.8224162169414593,3386.571502771259,23.72817175464005
-104.71167093320742,32.242186523559354,217.15159939940546,72.4674137560998,1.1898763277664497e-05,3.97083237707325e-06,9040,2.7142260508376864e-11,-2.8731347030595433,12325.509366904294,26.65617516567992
-104.7116532893059,32.242186085201496,68.72828651294047,31.2089926550799,3.7659479090128184e-06,1.710088328910473e-06,1375,4.12838586272325e-12,-2.3942573586095968,1680.0196013154048,18.15571681881471
-104.71165800165227,32.24218493451212,83.39812866246824,59.55458117945246,4.569777950056549e-06,3.2632772013407435e-06,3318,9.962170394556906e-12,-2.616000324759145,3890.187749369725,14.708486742379698
-104.71168030310542,32.242179181065225,233.44550865522024,93.67870244139732,1.279158363744499e-05,5.133099215441513e-06,9007,2.7043179247671505e-11,-2.8592042161885,17128.742111237734,47.4158701117303
-104.71166096056743,32.24217194816056,74.83811568599627,35.085352964591635,4.100734349445358e-06,1.9224924458010838e-06,1692,5.080166457983811e-12,-2.6979986049027787,2056.5902631833533,17.727899898690154
