PebbleCounts Parameters
otsu_threshold,maxGS,cutoff,min_sz_factors,win_sz_factors,improvement_ths,coordinate_scales,overlaps,first_nl_denoise,nl_means_chroma_filts,bilat_filt_szs,tophat_th,sobel_th,canny_sig
50.0,0.3,20,"[50, 5, 1]","[10, 3, 2]","[0.01, 0.1, 0.1]","[0.5, 0.5, 0.5]","[0.5, 0.3, 0.1]",5,"[3, 2, 1]","[9, 5, 3]",90,90,2

Image Details
perc. not meas.,perc. background color
96.443825,0.0

Pebble Details
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area
-104.71249137470608,32.24165030330849,34.543503741336544,20.256205396782462,1.892801963863439e-06,1.1099333073607767e-06,448,1.3451031756363755e-12,-0.0495464761272022,548.0542617758002,18.25626927005464
-104.71248973086432,32.24164871426125,46.9590942684005,21.31206165807792,2.573110895699712e-06,1.1677886662121144e-06,482,1.4471868987873504e-12,-2.2828726515195683,783.8703852523905,38.510242373194686
-104.71249734733112,32.24164493342472,35.4353657325893,21.068715419959116,1.9416713009515086e-06,1.15445457477602e-06,491,1.4742090607979025e-12,-1.1574891024835177,584.7551533770555,16.03323251374603
-104.71252770360888,32.24164323478802,50.48580980460075,31.141774602351646,2.7663563216094014e-06,1.7064051338540646e-06,961,2.8853664102378503e-12,-2.2372586031102295,1231.4357717667579,21.96101314961477
-104.71246194993864,32.24164087861453,44.24275876106571,28.8853131132152,2.424270024741891e-06,1.5827629355987456e-06,688,2.0656941625844336e-12,-2.332275500437468,1000.9637748100316,31.266243862763925
-104.7124970733575,32.24163375529933,29.10468278609483,22.009306714872952,1.5947832376140784e-06,1.2059940209056638e-06,399,1.197982515801147e-12,-2.282510609441726,501.72797199515236,20.47483451772645
-104.71250479941375,32.241623618273856,90.89786049827674,59.87134050180779,4.980723731745753e-06,3.2806339429126404e-06,3456,1.037651021205204e-11,-2.8037070263922086,4262.571966883354,18.92219000992239
-104.71250216926694,32.24161874154268,107.25535955493801,59.6274516677744,5.877028477500095e-06,3.267270120079858e-06,4010,1.2039874406923807e-11,-2.6833412513131494,5009.153420352509,19.946552570997028
-104.7124968541786,32.241614796321954,74.66633999212355,42.592934861484494,4.0913219466636095e-06,2.3338683694685936e-06,1974,5.926860867647779e-12,-2.2244260132783475,2490.929929790571,20.75248780016998
-104.7124997035043,32.241612330559,39.654608450903375,35.80418132922873,2.1728635668849933e-06,1.9618804520222846e-06,808,2.425989656058463e-12,-2.365088186335398,1112.0555841807209,27.341761374700184
-104.71252271728889,32.24161167302221,39.11348482587608,29.917985771948096,2.143212843906394e-06,1.6393479552051579e-06,808,2.425989656058463e-12,-3.069510009996162,916.5537610299864,11.843687260417548
-104.71250129255134,32.2416104675381,46.31453000655588,21.18420145171676,2.5377921709463876e-06,1.1607826007153252e-06,583,1.7504356057946583e-12,-2.107538170940339,768.472693750664,24.135235416815192
-104.71251521041154,32.24161090589596,34.6151649131238,27.63979473232838,1.8967286184294423e-06,1.5145150920961348e-06,638,1.9155710403035884e-12,-2.803380227937105,749.3768968154202,14.862600820592625
-104.71252967621899,32.24160898808033,68.44057708147405,43.4890156658522,3.7501829483713186e-06,2.3829688752825966e-06,1939,5.821774682051188e-12,-0.45941861041450704,2331.268642041794,16.826402370266237
-104.71251652548494,32.24160805656988,34.12661527309911,30.188024774431398,1.8699586727688079e-06,1.6541446694599562e-06,654,1.963610439433459e-12,-1.223208373962098,806.9135260818027,18.95042295601583
-104.71251767617417,32.24160422093862,95.3644823898666,54.17581643538068,5.225471072708728e-06,2.968549238972657e-06,3087,9.2686015696194e-12,-0.7829463732030151,4046.6086179896943,23.713897452885277
-104.71251608712714,32.24160109763888,193.86473816252226,116.74532319926969,1.0622766001550244e-05,6.397028473953513e-06,11886,3.568726862860259e-11,-2.3074148369825327,17727.087813582017,32.95006983102285
