PebbleCounts Parameters
otsu_threshold,maxGS,cutoff,min_sz_factors,win_sz_factors,improvement_ths,coordinate_scales,overlaps,first_nl_denoise,nl_means_chroma_filts,bilat_filt_szs,tophat_th,sobel_th,canny_sig
80.0,0.3,20,"[50, 5, 1]","[10, 3, 2]","[0.01, 0.1, 0.1]","[0.5, 0.5, 0.5]","[0.5, 0.3, 0.1]",5,"[3, 2, 1]","[9, 5, 3]",90,90,2

Image Details
perc. not meas.,perc. background color
97.388875,0.126225

Pebble Details
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area
-104.71227460675362,32.24175446789471,42.79953845640808,21.63148164389324,2.3451891576880194e-06,1.1852911981201609e-06,599,1.7984750049245289e-12,-1.225559184405939,725.1442946483282,17.395750829082118
-104.7122752094956,32.24175194733702,29.53464773976505,21.998256321077427,1.6183430511985225e-06,1.2053885175602516e-06,453,1.36011548786446e-12,-2.3378262519060438,508.88439662705906,10.981746934562524
-104.7123075931782,32.24173742673296,33.1587987122639,24.436579212761078,1.8169274255413785e-06,1.338995762281902e-06,474,1.4231671992224152e-12,-0.017394880040176197,634.655839297368,25.31385190991565
-104.71230682605204,32.24173605686465,43.84925604556347,21.498320171353893,2.402708149656332e-06,1.1779946511740036e-06,566,1.6993937442191708e-12,-0.28577784896691805,738.356049048207,23.3432162261535
-104.71227701772153,32.241734467817416,156.27993936319106,52.2416416362003,8.563317095860467e-06,2.8625666529050243e-06,4709,1.4138595656410027e-11,-0.027089913925627984,6394.68463056496,26.360715624783392
-104.71228211363098,32.24173386507536,42.54744953459436,31.541353291997897,2.3313760132586012e-06,1.7282999403028772e-06,954,2.8643491731185316e-12,-2.1711857031673985,1051.1215403994377,9.239801171092967
-104.71234682620144,32.24173287877018,43.74098551755361,28.152974719824776,2.396775495297349e-06,1.5426346509985002e-06,839,2.519065991872587e-12,-1.1019363053251898,964.5215501095936,13.013866833284462
-104.71228057937867,32.24173238561759,40.718192045324294,25.56681506144591,2.2311423428692546e-06,1.400926730548433e-06,691,2.0747015499212847e-12,-1.5717721785471872,815.3877783559864,15.255045716625947
-104.71233964809244,32.24172498832873,88.13659775029606,41.651658281018264,4.8294210847630595e-06,2.282291373302072e-06,2576,7.734343259909159e-12,-0.03504471960268618,2875.3297631704727,10.410275962240162
-104.71234452482298,32.24172367325515,37.78287858912629,23.784696143819463,2.0703026343078502e-06,1.3032760054691186e-06,411,1.2340120651485498e-12,-0.34495858934057466,703.8688270379805,41.608438360657416
-104.71233257957289,32.241719728034425,52.31526047418703,29.28362162614849,2.8666005772620335e-06,1.6045881430574053e-06,1075,3.2276471290381777e-12,-0.7458271870733696,1199.9199112054102,10.41068741662256
-104.71233082614168,32.24171961844496,32.99894544489268,21.524857285979888,1.8081683089017955e-06,1.1794487452072978e-06,463,1.390140112320629e-12,-0.4467885549648165,556.3388945430618,16.777344790844413
-104.71234090837112,32.24171430335593,41.884741814858906,34.015680640917566,2.2950631226272526e-06,1.8638800395408057e-06,843,2.531075841655055e-12,-0.2464958684775036,1115.922641971783,24.457129168876925
-104.71229044242921,32.241750577468714,492.1996775435052,195.22352060685594,2.696994848129588e-05,1.0697220118838304e-05,63736,1.9136494643383935e-10,-2.5498565551790238,75261.44399396027,15.313875714217218
-104.7123012917848,32.241744385663964,70.09838022156518,28.08881170692676,3.8410218239746785e-06,1.5391188560250034e-06,1212,3.638984484087695e-12,-3.000720780420405,1542.1990486105256,21.410922857722213
-104.71227888074219,32.24173923495913,204.28648686023797,88.32732211495069,1.1193822908505575e-05,4.8398717748458635e-06,11694,3.511079583904414e-11,-2.4712293745459606,14132.981321508027,17.257373133270235
-104.71228726433515,32.24173167328607,91.00547829921678,41.19016060290057,4.986620620101123e-06,2.2570037325925315e-06,1711,5.1372132444505324e-12,-0.010844771711585821,2936.027392486278,41.72397694998697
-104.71230518221029,32.24172570066025,38.4758743897085,24.258361344012233,2.1082751521541353e-06,1.329230362266625e-06,605,1.8164897795982303e-12,-2.7227438386844325,731.0532975352279,17.242695978558753
-104.71234019603969,32.24172213900265,74.27760302076518,36.081458330136044,4.070021209242091e-06,1.9770737704471174e-06,1326,3.9812652028880225e-12,-2.862687798627787,2099.1382585597817,36.83122135510177
-104.71232710010037,32.2417176458346,146.03820157473606,85.32612779556828,8.0021238380913e-06,4.6754221421681845e-06,5835,1.7519368370174667e-11,-2.757813150711721,9759.950041555625,40.21485791263367
-104.71230205891095,32.24171726227147,47.05533307758227,24.7683684924876,2.578384275272993e-06,1.3571760663112146e-06,774,2.323905932907488e-12,-2.263626969220437,912.8624299139257,15.211758679456125
