PebbleCounts Parameters
otsu_threshold,maxGS,cutoff,min_sz_factors,win_sz_factors,improvement_ths,coordinate_scales,overlaps,first_nl_denoise,nl_means_chroma_filts,bilat_filt_szs,tophat_th,sobel_th,canny_sig
80.0,0.3,20,"[50, 5, 1]","[10, 3, 2]","[0.01, 0.1, 0.1]","[0.5, 0.5, 0.5]","[0.5, 0.3, 0.1]",5,"[3, 2, 1]","[9, 5, 3]",90,90,2

Image Details
perc. not meas.,perc. background color
96.3646,0.004525

Pebble Details
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area
-104.71236342901295,32.24175638571034,43.143152058935144,23.64533617336503,2.3640173722936825e-06,1.2956398135027418e-06,662,1.9876301389983942e-12,-2.7637209464967594,799.0177844186067,17.1482771836306
-104.71237625097865,32.24175424871578,53.738562135247186,32.31079504939933,2.9445900076162262e-06,1.7704612937195305e-06,694,2.0837089372581353e-12,-1.343902829536599,1359.9807708830247,48.96986671735135
-104.71237367562657,32.241753919947385,77.72924467959014,28.09555986918418,4.259152982304204e-06,1.539488619754501e-06,1359,4.08034646359338e-12,-2.415788914124079,1710.492678859523,20.549206857399824
-104.71236315503933,32.24175402953685,57.03462928052577,30.630295444846602,3.1251971171997102e-06,1.6783787714720039e-06,1105,3.317721002406685e-12,-0.14207024434158377,1368.3238289631042,19.244262461075984
-104.71237800440986,32.241750577468714,60.61133309240006,28.982560200056128,3.3211816371826146e-06,1.588091563474216e-06,1260,3.783102681477306e-12,-1.7069383605984028,1375.9088495509245,8.424166294791648
-104.71243482653989,32.24174833088469,110.08220300324213,60.30209393442693,6.031924601256113e-06,3.3042369609882718e-06,2680,8.046599354253318e-12,-1.806601636537225,5199.344408793923,48.45503991874099
-104.7123546070622,32.2417459747112,46.116893396227695,33.91956299157649,2.526962726227587e-06,1.858613298888293e-06,827,2.4830364425251843e-12,-2.509388283794061,1225.2067295670627,32.50118693910312
-104.71242929227265,32.24174312538512,78.76942561370635,69.18515478798489,4.316149415833685e-06,3.790981882830482e-06,3013,9.046419348643748e-12,-3.094691576812661,4268.444872536063,29.412231152704333
-104.71236255229735,32.241740385648505,36.50605588573483,23.559744882125095,2.0003394789029528e-06,1.2909498618012099e-06,423,1.2700416144959527e-12,-2.0964864718579896,673.6504108189816,37.20778712422319
-104.71241131960278,32.24173819385921,40.40438252965571,32.8130123575611,2.2139472351585756e-06,1.7979801555666935e-06,608,1.825497166935081e-12,-2.13801828644311,1038.4214668299219,41.44959253817299
-104.71235575775142,32.24173386507536,35.11997963607112,20.952906437588148,1.9243898049187114e-06,1.1481088528450253e-06,431,1.294061314060888e-12,-2.1780731617636286,576.3650135237931,25.22099886581548
-104.71241301823926,32.2417335911017,52.04061120201329,27.30307014293386,2.851551244523906e-06,1.4960643591056544e-06,597,1.792470080033295e-12,-3.0892705922206303,1112.891831353447,46.35597250507657
-104.7124239771843,32.24173139931241,45.95735164481775,30.057915061930203,2.518220679021021e-06,1.6470153428813884e-06,805,2.416982268721612e-12,-2.4311383413667187,1081.9642922266596,25.598283992965516
-104.71235619610923,32.24173150890187,32.18396854007471,23.25361915661926,1.7635118693728528e-06,1.2741757852985653e-06,436,1.3090736262889726e-12,-0.6778046227001229,586.1776179536057,25.619814430630793
-104.71242293608452,32.241730413007225,51.86635679896704,20.450839188613145,2.842003021542023e-06,1.1205982134504984e-06,684,2.053684312801966e-12,-2.1811015182632576,830.7989870514472,17.66961555555636
-104.71241077165553,32.241729919854635,45.7026413205861,35.63452265079549,2.5042638955536558e-06,1.9525840505301386e-06,861,2.585120165676159e-12,-0.9336213767741661,1275.5906494245255,32.5018570504233
-104.71240803191927,32.24172739929695,58.87826885237407,33.638114605060224,3.226218849922061e-06,1.8431914105149172e-06,1332,3.999279977561724e-12,-0.7018152700553736,1551.2641625777928,14.134547027337593
-104.7123754838525,32.241727344502216,79.21631324669853,36.45555945082596,4.340636503063973e-06,1.9975725403816227e-06,1653,4.9630704226047515e-12,-2.9078466942818677,2261.921220432064,26.920531755555572
-104.7123817852459,32.241727563681145,51.58029178995232,27.65034773741263,2.826328166584918e-06,1.515093341161363e-06,936,2.8103048490974274e-12,-2.8234767571584625,1117.0779346229394,16.20996431946002
-104.71241926483793,32.241725919839176,130.8976559469725,55.87835987275999,7.172501727005297e-06,3.061839647090061e-06,4898,1.4706061058631623e-11,-2.5333190311154583,5728.944317059351,14.504318266543606
-104.71236556600724,32.24172624860757,49.293978948839566,33.032880329263676,2.7010502715552407e-06,1.810027761731534e-06,1077,3.2336520539294117e-12,-0.257424023709111,1275.379407723335,15.554540595685145
-104.71240731958784,32.24172498832873,30.129627851625397,20.355971363428672,1.650944825836725e-06,1.1153999565753065e-06,376,1.128925879551958e-12,-1.085131103224831,480.3797369733779,21.728588643438655
-104.71242967583572,32.24171956365023,58.08146933380219,35.31839878972819,3.1825584353662112e-06,1.935262128888002e-06,1367,4.104366163158315e-12,-2.6216877665015392,1606.7106848627955,14.919343421386749
-104.71239531954302,32.241717097887275,64.70666506664342,38.379667075456275,3.545584247339515e-06,2.1030034983370177e-06,1504,4.515703518207832e-12,-0.7897642080242886,1945.1329986858218,22.678809057471224
-104.71244337451702,32.24170750880912,67.3259348494988,34.21826336027324,3.689106428123513e-06,1.874980504968763e-06,1265,3.7981149937053905e-12,-2.8989817804851086,1804.4275044082062,29.89466205155862
-104.71244967591042,32.24170361838313,94.1418777666144,60.85756040527084,5.1584787823710506e-06,3.3346735963321123e-06,3942,1.1835706960621858e-11,-3.1096562241821584,4487.417493882946,12.154373748964414
-104.71242666212584,32.241700988235976,37.508300099154305,20.229984691885747,2.055257180061363e-06,1.1084965509131962e-06,455,1.3661204127556938e-12,-2.5250315033496875,594.3222883390973,23.44221158665438
-104.71242457992628,32.24169638547846,113.10448460246795,85.88521789073779,6.1975297057411395e-06,4.706057333028893e-06,4849,1.4558940398796396e-11,-2.5646688958928614,7608.469923438902,36.268394975683464
-104.71236342901295,32.241695508762746,90.44336140610936,57.16967583953956,4.95581957666437e-06,3.1325969569504305e-06,3455,1.0373507749606423e-11,-0.6788979498777213,4049.8739467646824,14.688702774068032
-104.71242797719924,32.24169244025774,46.89667895268574,27.97223985256177,2.5696908653216505e-06,1.5327313327290032e-06,799,2.398967494047911e-12,-2.5146067578842963,1027.4682570286127,22.2360404290573
-104.71244173067527,32.24169063203157,87.24759362983924,38.35694695628053,4.780708343933885e-06,2.1017585555391738e-06,2189,6.5723902934554155e-12,-0.10657011911571224,2621.1783416507956,16.487941121114762
-104.71244534712713,32.24168520735307,168.53348197565282,61.99791113302295,9.234746655954492e-06,3.3971588066670263e-06,5766,1.73121984614271e-11,-2.6050015113867664,8183.93802959021,29.544921049595025
-104.71243449777154,32.24168487858468,96.84566191580001,60.616656927550316,5.306631905046827e-06,3.321473355292716e-06,3878,1.1643549364102376e-11,-1.9916699369664983,4598.024002024187,15.659422432488634
-104.7124374566867,32.241685426532,47.31330131730891,35.53225064411443,2.5925195753405624e-06,1.9469800835283046e-06,1198,3.5969500098490577e-12,-2.734325747025655,1316.7552256012414,9.01877762034449
-104.7123974565373,32.241680549800826,78.53078913617519,63.50041460385756,4.303073394457778e-06,3.4794880788104357e-06,3153,9.466764091030115e-12,-2.475763092989875,3905.8503877055955,19.274941766211395
-104.7124378950445,32.24168082377449,35.384686924757,33.995230744459,1.9388943693550635e-06,1.862759492983994e-06,863,2.591125090567393e-12,-0.9779366423374825,942.176856405453,8.403608713922848
-104.71239307295929,32.2416764401959,161.868351226837,99.08274874967138,8.869532615559728e-06,5.429212474296312e-06,10975,3.2952025340645584e-11,-2.574083734470671,12562.008144024689,12.633395280670737
-104.71240014147884,32.24167731691162,130.83692530587163,70.3541597825425,7.169174007917993e-06,3.855037195980925e-06,5481,1.645649666442628e-11,-0.34232046514207193,7209.733165289187,23.977769019414833
-104.7124024428573,32.24167463196974,90.99659868778849,35.427233888596234,4.986134064189608e-06,1.9412257187547763e-06,1708,5.1282058571136814e-12,-1.3954721927116316,2525.0005972897047,32.356451644671296
-104.71240720999839,32.241673645664555,117.22194977822514,69.92190863026272,6.423145098701014e-06,3.831352110760738e-06,5999,1.801177221125584e-11,-3.02697231387869,6419.797017478379,6.554677917895647
-104.71238912773907,32.24167183743839,35.536991291455884,30.573916836795924,1.947239846019831e-06,1.6752895208610267e-06,753,2.260854221549533e-12,-0.12036237617874401,851.0024631062621,11.516119794593923
-104.71238655238699,32.24166504289158,27.008275058893577,20.257377969817632,1.4799111420438596e-06,1.1099975581837496e-06,342,1.026842156400983e-12,-2.795727150122397,428.52795723872526,20.191904816731032
-104.71236644272284,32.24175901585749,36.228693887447214,20.044026242100475,1.985141503069608e-06,1.0983070078492897e-06,426,1.2790490018328035e-12,-2.5903273144525096,568.7700521912396,25.101541763882384
-104.71238408662435,32.241753207615865,44.4662520952492,29.959820712674848,2.4365162816653507e-06,1.641640289490604e-06,902,2.7082211259464523e-12,-2.0056374909483043,1043.443209800462,13.555429607665015
-104.71236052489252,32.2417530980264,57.71364967025678,28.70521910622594,3.1624038561805095e-06,1.5728947330949736e-06,821,2.4650216678514826e-12,-0.05837907434607481,1297.5929771343729,36.72900405078403
-104.7123759222103,32.24175118021077,41.04039835340325,28.87695413746675,2.24879755055368e-06,1.5823049077787818e-06,712,2.1377532612792395e-12,-0.2210942418795674,928.2437461964806,23.29600895050991
-104.71237164822173,32.241750358289785,36.4573904329122,21.116149133364893,1.9976728685508376e-06,1.1570536922992477e-06,473,1.4201647367767982e-12,-0.5426506721597277,602.9751040282188,21.555633584191234
-104.71237329206349,32.24174093359583,315.62991712931864,174.3789832996166,1.729485611737524e-05,9.55504932324081e-06,36092,1.083648745872055e-10,-1.9794510777545444,43109.34098449012,16.278005704180952
-104.71241066206608,32.24173671440144,37.47094968583672,32.010084138335124,2.053210574244883e-06,1.7539839205127014e-06,764,2.2938813084513187e-12,-0.3910275984277687,939.4649832222954,18.677117972025254
-104.7123609084556,32.241733974664825,158.21977125203964,61.873864108696026,8.669609660629561e-06,3.390361683450586e-06,3567,1.0709783543515517e-11,-0.2727093882403935,7667.734605874219,53.48039305810954
-104.71241219631838,32.24173534453313,53.51598238859603,23.09148648387351,2.9323938104750142e-06,1.2652917692567199e-06,676,2.0296646132370307e-12,-0.05446152778827984,967.9088802623548,30.158714959122186
-104.71239329213819,32.24173287877018,64.08402021119879,25.629436390555266,3.5114665905436074e-06,1.4043580493748464e-06,1053,3.161592955234606e-12,-2.7738223422262074,1286.4351139276055,18.145891028650986
-104.71235115499451,32.24172345407622,43.90372666454807,26.45666998353239,2.4056928525214187e-06,1.449686090823265e-06,732,2.1978025101915776e-12,-0.3095181959510809,909.7784536855145,19.54085117814492
-104.71238523731358,32.24171512527691,45.27586368097716,30.501031809363045,2.4808787299829102e-06,1.6712958054552526e-06,678,2.0356695381282648e-12,-2.681007968944974,1081.6340641595318,37.31706290825538
-104.71238857979182,32.241710686903595,48.407048761237014,26.58745292777839,2.6524511713170402e-06,1.4568523069535774e-06,795,2.386957644265443e-12,-2.0302989200715182,1008.0554479326679,21.135290560613957
-104.71239920996851,32.241709262240555,88.88902265599954,50.85527458051768,4.870650004383945e-06,2.7866010442834677e-06,2122,6.371225309599082e-12,-2.351062206391424,3540.651776382427,40.06753179867633
-104.71236227832372,32.24170860470377,32.80531694194732,25.071220552443897,1.7975584873452075e-06,1.3737707631936677e-06,578,1.7354232935665737e-12,-2.073194185283807,644.197146363588,10.275914250359936
-104.71235466185692,32.24170778278278,48.2086542787922,31.061236419282352,2.641580199200166e-06,1.7019920658508574e-06,789,2.3689428695917415e-12,-1.7593581492437886,1172.850963700968,32.72802560435421
-104.71236386737075,32.241707399219656,47.045786440838135,23.1081460589415,2.577861169889333e-06,1.2662046261759816e-06,735,2.2068098975284287e-12,-2.822078433167871,851.5005209894231,13.681790922928888
-104.71239471680104,32.241705974556616,43.559086947374496,26.065151668460356,2.3868084122406588e-06,1.4282329504236694e-06,661,1.9846276765527772e-12,-1.4743253307971098,889.2791407704485,25.670133291631398
